epoch,step,train_loss,val_accuracy_optimized,val_auroc,val_average_precision,val_balanced_accuracy_optimized,val_best_threshold,val_f1_optimized,val_f1_threshold_05,val_false_negatives,val_false_positives,val_loss,val_precision_optimized,val_recall_optimized,val_specificity_optimized,val_true_negatives,val_true_positives
0,186,,0.9197999835014343,0.9130259156227112,0.2617616653442383,0.7571045160293579,0.5300000309944153,0.3915022909641266,0.38242894411087036,94.0,307.0,0.3277890980243683,0.2958715558052063,0.5784753561019897,0.9357337355613708,4470.0,129.0
0,186,0.5369815826416016,,,,,,,,,,,,,,,
1,373,,0.9273999929428101,0.9287739992141724,0.31042277812957764,0.7803192734718323,0.5300000309944153,0.43192487955093384,0.4169014096260071,85.0,278.0,0.1867097169160843,0.33173078298568726,0.6188340783119202,0.9418044686317444,4499.0,138.0
1,373,0.2658902704715729,,,,,,,,,,,,,,,
2,560,,0.925599992275238,0.9340571165084839,0.31441062688827515,0.809302031993866,0.4899999797344208,0.4497041404247284,0.4430955946445465,71.0,301.0,0.14953488111495972,0.3355408310890198,0.681614339351654,0.9369897246360779,4476.0,152.0
2,560,0.21713609993457794,,,,,,,,,,,,,,,
3,747,,0.9192000031471252,0.9353638887405396,0.3118847608566284,0.8209150433540344,0.4949999749660492,0.4404432475566864,0.43916085362434387,64.0,340.0,0.14830750226974487,0.31863728165626526,0.713004469871521,0.9288256168365479,4437.0,159.0
3,747,0.20552967488765717,,,,,,,,,,,,,,,
4,934,,0.9218000173568726,0.9336037635803223,0.29480403661727905,0.7944884300231934,0.5099999904632568,0.4275256395339966,0.4269340932369232,77.0,314.0,0.14416973292827606,0.3173913061618805,0.6547085046768188,0.9342683553695679,4463.0,146.0
4,934,0.19841620326042175,,,,,,,,,,,,,,,
5,1121,,0.9222000241279602,0.9352774620056152,0.30220258235931396,0.7989727258682251,0.47999998927116394,0.4321168065071106,0.42526963353157043,75.0,314.0,0.13701386749744415,0.32034632563591003,0.6636771559715271,0.9342683553695679,4463.0,148.0
5,1121,0.19665241241455078,,,,,,,,,,,,,,,
6,1308,,0.9200000166893005,0.9334009885787964,0.29034653306007385,0.8042338490486145,0.4650000035762787,0.43019944429397583,0.41390204429626465,72.0,328.0,0.13647878170013428,0.3152400851249695,0.6771300435066223,0.9313376545906067,4449.0,151.0
6,1308,0.19330717623233795,,,,,,,,,,,,,,,
7,1495,,0.9196000099182129,0.9339661002159119,0.28535160422325134,0.816849410533905,0.4449999928474426,0.4385474622249603,0.41025641560554504,66.0,336.0,0.13269275426864624,0.3184584081172943,0.7040358781814575,0.9296629428863525,4441.0,157.0
7,1495,0.1903710812330246,,,,,,,,,,,,,,,
8,1682,,0.9223999977111816,0.9354379773139954,0.2982840836048126,0.8076273202896118,0.4650000035762787,0.4393063187599182,0.4278922379016876,71.0,317.0,0.13183441758155823,0.3240938186645508,0.681614339351654,0.9336403608322144,4460.0,152.0
8,1682,0.18936274945735931,,,,,,,,,,,,,,,
9,1869,,0.9150000214576721,0.9348344206809998,0.2984091639518738,0.8187170028686523,0.3999999761581421,0.42799463868141174,0.38532111048698425,64.0,361.0,0.12844562530517578,0.3057692348957062,0.713004469871521,0.9244295358657837,4416.0,159.0
9,1869,0.18919968605041504,,,,,,,,,,,,,,,
10,2056,,0.923799991607666,0.9343847632408142,0.2956877052783966,0.7869851589202881,0.45499998331069946,0.42706766724586487,0.3949730694293976,81.0,300.0,0.1304483562707901,0.3212669789791107,0.6367713212966919,0.937199056148529,4477.0,142.0
10,2056,0.1867060661315918,,,,,,,,,,,,,,,
11,2243,,0.9228000044822693,0.9353488683700562,0.2993053197860718,0.7992867231369019,0.45499998331069946,0.4340176284313202,0.4182124733924866,75.0,311.0,0.1316116750240326,0.32244008779525757,0.6636771559715271,0.9348963499069214,4466.0,148.0
11,2243,0.18496616184711456,,,,,,,,,,,,,,,
12,2430,,0.9232000112533569,0.9356877207756042,0.30946311354637146,0.7952210903167725,0.4699999988079071,0.43195268511772156,0.4117647111415863,77.0,307.0,0.132999449968338,0.32229581475257874,0.6547085046768188,0.9357337355613708,4470.0,146.0
