epoch,step,train_loss,val_auroc,val_f1,val_loss
0,49,0.6194058656692505,,,
0,99,0.5787132382392883,,,
0,149,0.5206779837608337,,,
0,175,,0.5,0.0,0.48757725954055786
1,199,0.4572415053844452,,,
1,249,0.3420690894126892,,,
1,299,0.26709315180778503,,,
1,349,0.14950817823410034,,,
1,351,,0.5,0.0,0.20742614567279816
2,399,0.20292270183563232,,,
2,449,0.1325574815273285,,,
2,499,0.16561949253082275,,,
2,527,,0.5,0.0,0.1823900043964386
3,549,0.2133299559354782,,,
3,599,0.21297691762447357,,,
3,649,0.18926458060741425,,,
3,699,0.20121634006500244,,,
3,703,,0.4985007047653198,0.0,0.1823331117630005
4,749,0.1414727121591568,,,
4,799,0.14157907664775848,,,
4,849,0.22553250193595886,,,
4,879,,0.5,0.0,0.1823355108499527
5,899,0.18931230902671814,,,
5,949,0.21285279095172882,,,
5,999,0.2741875648498535,,,
5,1049,0.20143131911754608,,,
5,1055,,0.4985007047653198,0.0,0.1823374330997467
6,1099,0.16547785699367523,,,
6,1149,0.274199903011322,,,
6,1199,0.18922072649002075,,,
6,1231,,0.5,0.0,0.18234965205192566
7,1249,0.15313401818275452,,,
7,1299,0.1534641981124878,,,
7,1349,0.17737258970737457,,,
7,1399,0.2015610933303833,,,
7,1407,,0.5,0.0,0.18235370516777039
8,1449,0.2615921199321747,,,
8,1499,0.15324899554252625,,,
8,1549,0.17731830477714539,,,
8,1583,,0.5014992952346802,0.0,0.1824273020029068
9,1599,0.17731234431266785,,,
9,1649,0.21275247633457184,,,
9,1699,0.16544395685195923,,,
9,1749,0.15307271480560303,,,
9,1759,,0.5,0.0,0.1823635995388031
10,1799,0.12955805659294128,,,
10,1849,0.16563820838928223,,,
10,1899,0.18922972679138184,,,
10,1935,,0.5,0.0,0.18237236142158508
11,1949,0.17731067538261414,,,
11,1999,0.1892089992761612,,,
11,2049,0.1411811113357544,,,
11,2099,0.15313820540905,,,
11,2111,,0.5,0.0,0.18233337998390198
12,2149,0.12857958674430847,,,
12,2199,0.18920908868312836,,,
12,2249,0.20118674635887146,,,
12,2287,,0.5,0.0,0.18235935270786285
13,2299,0.18920956552028656,,,
13,2349,0.18947523832321167,,,
13,2399,0.18928730487823486,,,
13,2449,0.1423313021659851,,,
13,2463,,0.5,0.0,0.18234582245349884
14,2499,0.18925034999847412,,,
14,2549,0.17727991938591003,,,
14,2599,0.15368014574050903,,,
14,2639,,0.5,0.0,0.18233327567577362
15,2649,0.22530338168144226,,,
15,2699,0.11753013730049133,,,
15,2749,0.16514156758785248,,,
15,2799,0.14143218100070953,,,
15,2815,,0.5,0.0,0.18233445286750793
16,2849,0.15345682203769684,,,
16,2899,0.12816746532917023,,,
16,2949,0.17741572856903076,,,
16,2991,,0.5,0.0,0.18234452605247498
17,2999,0.22554033994674683,,,
17,3049,0.10637538135051727,,,
17,3099,0.08221929520368576,,,
17,3149,0.22546684741973877,,,
17,3167,,0.5,0.0,0.182333841919899
18,3199,0.1653742492198944,,,
18,3249,0.15317708253860474,,,
18,3299,0.11722643673419952,,,
18,3343,,0.5,0.0,0.18234208226203918
19,3349,0.09266503155231476,,,
19,3399,0.16569922864437103,,,
19,3449,0.16524726152420044,,,
19,3499,0.13036489486694336,,,
19,3519,,0.5,0.0,0.18233521282672882
20,3549,0.17732350528240204,,,
20,3599,0.20168457925319672,,,
20,3649,0.17728032171726227,,,
20,3695,,0.5014992952346802,0.0,0.18262802064418793
21,3699,0.14338475465774536,,,
21,3749,0.17739713191986084,,,
21,3799,0.2364056259393692,,,
21,3849,0.23767463862895966,,,
21,3871,,0.5,0.0,0.18234826624393463
22,3899,0.18922056257724762,,,
22,3949,0.1291201263666153,,,
22,3999,0.17730259895324707,,,
22,4047,,0.5,0.0,0.18233837187290192
23,4049,0.22540022432804108,,,
23,4099,0.22537459433078766,,,
23,4149,0.20109158754348755,,,
23,4199,0.20133045315742493,,,
23,4223,,0.5,0.0,0.1824125200510025
24,4249,0.21321973204612732,,,
24,4299,0.24878257513046265,,,
24,4349,0.18926990032196045,,,
24,4399,0.13764722645282745,,,
24,4399,,0.5,0.0,0.18233303725719452
25,4449,0.16526523232460022,,,
25,4499,0.1892109364271164,,,
25,4549,0.1419133096933365,,,
25,4575,,0.5014992952346802,0.0,0.1824091523885727
26,4599,0.1773398369550705,,,
26,4649,0.17727792263031006,,,
26,4699,0.11786860972642899,,,
26,4749,0.12964753806591034,,,
26,4751,,0.5,0.0,0.1823331117630005
27,4799,0.11831770837306976,,,
27,4849,0.1893160492181778,,,
27,4899,0.20106691122055054,,,
27,4927,,0.4985007047653198,0.0,0.1823330819606781
28,4949,0.15305939316749573,,,
28,4999,0.16550175845623016,,,
28,5049,0.1534818857908249,,,
28,5099,0.1533896028995514,,,
28,5103,,0.5,0.0,0.1823333352804184
29,5149,0.16546504199504852,,,
29,5199,0.21353548765182495,,,
29,5249,0.18924295902252197,,,
29,5279,,0.5,0.0,0.1824178695678711
30,5299,0.16555029153823853,,,
30,5349,0.20178554952144623,,,
30,5399,0.17743536829948425,,,
30,5449,0.15309633314609528,,,
30,5455,,0.5,0.0,0.1823556125164032
31,5499,0.11919951438903809,,,
31,5549,0.14089973270893097,,,
31,5599,0.1893908679485321,,,
31,5631,,0.4985007047653198,0.0,0.1823447048664093
32,5649,0.14089824259281158,,,
32,5699,0.11970530450344086,,,
32,5749,0.1892099827528,,,
32,5799,0.21363431215286255,,,
32,5807,,0.4985007047653198,0.0,0.18233530223369598
33,5849,0.2613263428211212,,,
33,5899,0.16551926732063293,,,
33,5949,0.1774260699748993,,,
33,5983,,0.5,0.0,0.1823466569185257
34,5999,0.17729803919792175,,,
34,6049,0.24872273206710815,,,
34,6099,0.15330085158348083,,,
34,6149,0.1415320783853531,,,
34,6159,,0.5,0.0,0.1823330521583557
35,6199,0.21447555720806122,,,
35,6249,0.14117220044136047,,,
35,6299,0.23755541443824768,,,
35,6335,,0.5,0.0,0.18253222107887268
36,6349,0.1892261952161789,,,
36,6399,0.1529260277748108,,,
36,6449,0.20098164677619934,,,
36,6499,0.14144277572631836,,,
36,6511,,0.5,0.0,0.18245431780815125
37,6549,0.20144252479076385,,,
37,6599,0.15374784171581268,,,
37,6649,0.18920981884002686,,,
37,6687,,0.5,0.0,0.18237236142158508
38,6699,0.18943439424037933,,,
38,6749,0.1892177015542984,,,
38,6799,0.16528716683387756,,,
38,6849,0.1289619356393814,,,
38,6863,,0.5,0.0,0.18264560401439667
39,6899,0.1650075614452362,,,
39,6949,0.1532428115606308,,,
39,6999,0.2010909616947174,,,
39,7039,,0.5,0.0,0.1824062019586563
40,7049,0.21311014890670776,,,
40,7099,0.20118413865566254,,,
40,7149,0.1653551459312439,,,
40,7199,0.1893390715122223,,,
40,7215,,0.5,0.0,0.1823819875717163
41,7249,0.20095384120941162,,,
41,7299,0.14123065769672394,,,
41,7349,0.1408877968788147,,,
41,7391,,0.5,0.0,0.1823824644088745
42,7399,0.15384919941425323,,,
42,7449,0.16533303260803223,,,
42,7499,0.1183299571275711,,,
42,7549,0.15289993584156036,,,
42,7567,,0.5,0.0,0.1823706179857254
43,7599,0.15345945954322815,,,
43,7649,0.1655135601758957,,,
43,7699,0.21349339187145233,,,
43,7743,,0.5,0.0,0.18234270811080933
44,7749,0.11728404462337494,,,
44,7799,0.14089065790176392,,,
44,7849,0.29661762714385986,,,
44,7899,0.22513768076896667,,,
44,7919,,0.5,0.0,0.18233339488506317
45,7949,0.21357442438602448,,,
45,7999,0.21315665543079376,,,
45,8049,0.18946662545204163,,,
45,8095,,0.5,0.0,0.18233373761177063
46,8099,0.1892351359128952,,,
46,8149,0.16498561203479767,,,
46,8199,0.16526642441749573,,,
46,8249,0.21243615448474884,,,
46,8271,,0.5,0.0,0.18233434855937958
47,8299,0.16512933373451233,,,
47,8349,0.1308031976222992,,,
47,8399,0.16534334421157837,,,
47,8447,,0.4985007047653198,0.0,0.18234622478485107
48,8449,0.1772739291191101,,,
48,8499,0.28504788875579834,,,
48,8549,0.12767930328845978,,,
48,8599,0.17775021493434906,,,
48,8623,,0.4985007047653198,0.0,0.18234321475028992
49,8649,0.17727036774158478,,,
49,8699,0.24970516562461853,,,
49,8749,0.2013043761253357,,,
49,8799,0.16825853288173676,,,
49,8799,,0.4985007047653198,0.0,0.18233434855937958
