epoch,step,train_loss,val_auroc,val_f1,val_loss
0,49,1.252475380897522,,,
0,87,,0.9051518440246582,0.20676328241825104,1.0046645402908325
1,99,0.8589941263198853,,,
1,149,0.6611967086791992,,,
1,175,,0.9315592050552368,0.3221266567707062,0.5781154036521912
2,199,0.6068277359008789,,,
2,249,0.44108790159225464,,,
2,263,,0.9330441951751709,0.28552716970443726,0.5730348229408264
3,299,0.5901476740837097,,,
3,349,0.5398637056350708,,,
3,351,,0.9335755705833435,0.3220858871936798,0.5493273735046387
4,399,0.5055582523345947,,,
4,439,,0.9342186450958252,0.3311367332935333,0.5468233227729797
5,449,0.6004660129547119,,,
5,499,0.5740934610366821,,,
5,527,,0.9336441159248352,0.33835846185684204,0.5501617789268494
6,549,0.5695381760597229,,,
6,599,0.5025339126586914,,,
6,615,,0.9346476197242737,0.3333333432674408,0.546487033367157
7,649,0.4524536728858948,,,
7,699,0.5358188152313232,,,
7,703,,0.9346354007720947,0.3137255012989044,0.5380346179008484
8,749,0.5432682037353516,,,
8,791,,0.9345499873161316,0.3177710771560669,0.5377013683319092
9,799,0.4910353422164917,,,
9,849,0.542749285697937,,,
9,879,,0.9339979887008667,0.3074670433998108,0.5410750508308411
10,899,0.5218780040740967,,,
10,949,0.5646307468414307,,,
10,967,,0.9332902431488037,0.33472803235054016,0.5500171184539795
11,999,0.5098670721054077,,,
11,1049,0.5744696259498596,,,
11,1055,,0.9337821006774902,0.31161049008369446,0.5399254560470581
12,1099,0.4630209803581238,,,
12,1143,,0.934077799320221,0.3243243098258972,0.5408964157104492
13,1149,0.538374662399292,,,
13,1199,0.49592307209968567,,,
13,1231,,0.9343472123146057,0.3274478316307068,0.5427535176277161
14,1249,0.49312877655029297,,,
14,1299,0.5442668795585632,,,
14,1319,,0.9343613386154175,0.30129125714302063,0.538140058517456
15,1349,0.47078219056129456,,,
15,1399,0.6879888772964478,,,
15,1407,,0.934229850769043,0.3136049211025238,0.5391560792922974
16,1449,0.6773599982261658,,,
16,1495,,0.93430495262146,0.31137725710868835,0.5401249527931213
17,1499,0.5939450860023499,,,
17,1549,0.48095703125,,,
17,1583,,0.9337009191513062,0.3230403661727905,0.542694628238678
18,1599,0.4901849031448364,,,
18,1649,0.5251514315605164,,,
18,1671,,0.9341096878051758,0.31137725710868835,0.5372642278671265
19,1699,0.48998647928237915,,,
19,1749,0.3961193561553955,,,
19,1759,,0.9337220191955566,0.32901135087013245,0.544671893119812
20,1799,0.5824848413467407,,,
20,1847,,0.9340937733650208,0.31387415528297424,0.5388202667236328
21,1849,0.5590131282806396,,,
21,1899,0.5476168394088745,,,
21,1935,,0.9339463710784912,0.3214568495750427,0.5419464111328125
22,1949,0.5438588261604309,,,
22,1999,0.41569873690605164,,,
22,2023,,0.9339698553085327,0.3199999928474426,0.5410476326942444
23,2049,0.6076423525810242,,,
23,2099,0.46634817123413086,,,
23,2111,,0.9338421821594238,0.3214568495750427,0.5419707894325256
24,2149,0.6747560501098633,,,
24,2199,0.5037999749183655,,,
24,2199,,0.93379807472229,0.31800466775894165,0.5410133600234985
25,2249,0.5959844589233398,,,
25,2287,,0.9338821172714233,0.3161993622779846,0.5406550765037537
26,2299,0.5596095323562622,,,
26,2349,0.6175526976585388,,,
26,2375,,0.9338083863258362,0.31743550300598145,0.5412797331809998
27,2399,0.5582494735717773,,,
27,2449,0.4881238341331482,,,
27,2463,,0.9338239431381226,0.3189316689968109,0.5416077375411987
28,2499,0.5468207597732544,,,
28,2549,0.5432727336883545,,,
28,2551,,0.9338102340698242,0.3169398903846741,0.5413001179695129
29,2599,0.4849349558353424,,,
29,2639,,0.9338093400001526,0.3177570104598999,0.541164755821228
30,2640,,0.9338093400001526,0.3177570104598999,0.541164755821228
