epoch,step,train_loss,val_auroc,val_average_precision,val_f1,val_loss,val_precision,val_recall
0,175,,0.8953977227210999,0.2422894835472107,0.0,0.4748454689979553,0.0,0.0
0,175,0.6250236630439758,,,,,,
1,351,,0.9113097190856934,0.25612401962280273,0.0,0.3657688796520233,0.0,0.0
1,351,0.4303112030029297,,,,,,
2,527,,0.9167433381080627,0.25617992877960205,0.0,0.3320745825767517,0.0,0.0
2,527,0.37620556354522705,,,,,,
3,703,,0.9156467914581299,0.2572599947452545,0.0,0.3282603621482849,0.0,0.0
3,703,0.35272854566574097,,,,,,
4,879,,0.9162156581878662,0.26430627703666687,0.0,0.31789690256118774,0.0,0.0
4,879,0.3385733366012573,,,,,,
5,1055,,0.9175999760627747,0.26460713148117065,0.008888889104127884,0.31595009565353394,1.0,0.004464285913854837
5,1055,0.3250971734523773,,,,,,
6,1231,,0.9186356663703918,0.27790698409080505,0.0,0.3139307498931885,0.0,0.0
6,1231,0.32612285017967224,,,,,,
7,1407,,0.9180361032485962,0.2719246745109558,0.0,0.31251731514930725,0.0,0.0
7,1407,0.31778547167778015,,,,,,
8,1583,,0.9186146855354309,0.28110530972480774,0.008849558420479298,0.3157395124435425,0.5,0.004464285913854837
8,1583,0.31946051120758057,,,,,,
9,1759,,0.9221283197402954,0.28211528062820435,0.043290045112371445,0.30731528997421265,0.7142857313156128,0.0223214291036129
9,1759,0.31397587060928345,,,,,,
10,1935,,0.9247783422470093,0.29555249214172363,0.026200873777270317,0.3051503300666809,0.6000000238418579,0.013392857275903225
10,1935,0.30904215574264526,,,,,,
11,2111,,0.9255625009536743,0.29746386408805847,0.026200873777270317,0.3023374378681183,0.6000000238418579,0.013392857275903225
11,2111,0.31394514441490173,,,,,,
12,2287,,0.9237267374992371,0.2894062101840973,0.0,0.304084837436676,0.0,0.0
12,2287,0.30671340227127075,,,,,,
13,2463,,0.9249606132507324,0.29434335231781006,0.008888889104127884,0.3034519851207733,1.0,0.004464285913854837
13,2463,0.3076169192790985,,,,,,
14,2639,,0.9241904020309448,0.2907945513725281,0.017543859779834747,0.3038274645805359,0.5,0.008928571827709675
14,2639,0.30296626687049866,,,,,,
15,2815,,0.9293949007987976,0.3249197006225586,0.03478261083364487,0.30611392855644226,0.6666666865348816,0.01785714365541935
15,2815,0.3080138564109802,,,,,,
16,2991,,0.9253811836242676,0.2997001111507416,0.008888889104127884,0.30648526549339294,1.0,0.004464285913854837
16,2991,0.3061501085758209,,,,,,
17,3167,,0.9278601408004761,0.30831265449523926,0.03478261083364487,0.301102876663208,0.6666666865348816,0.01785714365541935
17,3167,0.3014431893825531,,,,,,
18,3343,,0.927309513092041,0.3123146891593933,0.017621146515011787,0.30633607506752014,0.6666666865348816,0.008928571827709675
18,3343,0.30316999554634094,,,,,,
19,3519,,0.9296033382415771,0.32621321082115173,0.034632034599781036,0.3000717759132385,0.5714285969734192,0.01785714365541935
19,3519,0.30286264419555664,,,,,,
20,3695,,0.9272571802139282,0.3100413382053375,0.017699116840958595,0.3056317865848541,1.0,0.008928571827709675
20,3695,0.30105137825012207,,,,,,
21,3871,,0.9291098713874817,0.31990984082221985,0.02631578966975212,0.299800306558609,0.75,0.013392857275903225
21,3871,0.2982858419418335,,,,,,
22,4047,,0.929384708404541,0.3259230852127075,0.03478261083364487,0.30420568585395813,0.6666666865348816,0.01785714365541935
22,4047,0.29777464270591736,,,,,,
23,4223,,0.9286051392555237,0.31407618522644043,0.008888889104127884,0.2982149124145508,1.0,0.004464285913854837
23,4223,0.2987499535083771,,,,,,
24,4399,,0.9251526594161987,0.30123651027679443,0.017699116840958595,0.30660462379455566,1.0,0.008928571827709675
24,4399,0.29853057861328125,,,,,,
25,4575,,0.9281235933303833,0.3178345263004303,0.034632034599781036,0.3049359917640686,0.5714285969734192,0.01785714365541935
25,4575,0.29793375730514526,,,,,,
26,4751,,0.9290659427642822,0.3207542300224304,0.034934498369693756,0.3069886565208435,0.800000011920929,0.01785714365541935
26,4751,0.2998424172401428,,,,,,
27,4927,,0.9287424683570862,0.31501638889312744,0.034632034599781036,0.3055678606033325,0.5714285969734192,0.01785714365541935
27,4927,0.2984726130962372,,,,,,
28,5103,,0.9292023181915283,0.32203924655914307,0.05128205195069313,0.3030848801136017,0.6000000238418579,0.02678571455180645
28,5103,0.29418429732322693,,,,,,
29,5279,,0.9284517765045166,0.31511932611465454,0.017621146515011787,0.3005979359149933,0.6666666865348816,0.008928571827709675
29,5279,0.2970322370529175,,,,,,
30,5455,,0.9280353784561157,0.31012287735939026,0.008888889104127884,0.30168038606643677,1.0,0.004464285913854837
30,5455,0.29675713181495667,,,,,,
