epoch,step,train_loss,val_auroc,val_average_precision,val_f1,val_loss,val_precision,val_recall
0,175,,0.8895671367645264,0.22159861028194427,0.0,0.5122655034065247,0.0,0.0
0,175,0.6902302503585815,,,,,,
1,351,,0.9223047494888306,0.2580215334892273,0.0,0.3628121316432953,0.0,0.0
1,351,0.4452193081378937,,,,,,
2,527,,0.9215129017829895,0.2506318986415863,0.0,0.3277274966239929,0.0,0.0
2,527,0.37838953733444214,,,,,,
3,703,,0.9240184426307678,0.25767621397972107,0.0,0.3095594644546509,0.0,0.0
3,703,0.3546649217605591,,,,,,
4,879,,0.9237508773803711,0.2472285032272339,0.0,0.30651289224624634,0.0,0.0
4,879,0.34129598736763,,,,,,
5,1055,,0.9236288070678711,0.25253573060035706,0.0,0.30740219354629517,0.0,0.0
5,1055,0.33221444487571716,,,,,,
6,1231,,0.9245047569274902,0.2568050026893616,0.0,0.3096267879009247,0.0,0.0
6,1231,0.3270222246646881,,,,,,
