epoch,step,train_loss,val_auroc,val_f1,val_loss
0,49,0.528954267501831,,,
0,87,,0.9349986910820007,0.317932665348053,0.5618606805801392
1,99,0.533051609992981,,,
1,149,0.5941226482391357,,,
1,175,,0.9338421821594238,0.30539771914482117,0.5588642358779907
2,199,0.6011781692504883,,,
2,249,0.5637829303741455,,,
2,263,,0.9306964874267578,0.3220738470554352,0.5620207786560059
3,299,0.4701043367385864,,,
3,349,0.5372723340988159,,,
3,351,,0.9330893754959106,0.3075791001319885,0.555884838104248
4,399,0.6932672262191772,,,
4,439,,0.9348785281181335,0.3232792019844055,0.5429611206054688
5,449,0.45022186636924744,,,
5,499,0.4927184581756592,,,
5,527,,0.9307941198348999,0.29634734988212585,0.5602102875709534
6,549,0.6307719945907593,,,
6,599,0.4960118532180786,,,
6,615,,0.9348944425582886,0.33441033959388733,0.5415132641792297
7,649,0.4925392270088196,,,
7,699,0.41850507259368896,,,
7,703,,0.9315544962882996,0.32171157002449036,0.5799961686134338
8,749,0.47455984354019165,,,
8,791,,0.9308156967163086,0.33936262130737305,0.5809923410415649
9,799,0.4482871890068054,,,
9,849,0.549101710319519,,,
9,879,,0.9309114813804626,0.3500455915927887,0.596047043800354
10,899,0.48429393768310547,,,
10,949,0.5037806630134583,,,
10,967,,0.9319262504577637,0.31967872381210327,0.5601305365562439
11,999,0.4780406355857849,,,
11,1049,0.5497407913208008,,,
11,1055,,0.9275198578834534,0.33472105860710144,0.5973552465438843
12,1099,0.5682694911956787,,,
12,1143,,0.9275376796722412,0.3191823959350586,0.5897000432014465
13,1149,0.46625763177871704,,,
13,1199,0.41506245732307434,,,
13,1231,,0.9285271167755127,0.3566037714481354,0.6419962644577026
14,1249,0.47114795446395874,,,
14,1299,0.4722961485385895,,,
14,1319,,0.9283501505851746,0.33648067712783813,0.599723219871521
15,1349,0.5372314453125,,,
15,1399,0.34714382886886597,,,
15,1407,,0.9288387894630432,0.341850221157074,0.6113966107368469
16,1449,0.5067800283432007,,,
16,1495,,0.9265707731246948,0.3379073739051819,0.6297726631164551
17,1499,0.46464595198631287,,,
17,1549,0.46947675943374634,,,
17,1583,,0.9263333082199097,0.34501346945762634,0.6557260155677795
18,1599,0.5104552507400513,,,
18,1649,0.41337794065475464,,,
18,1671,,0.9247111678123474,0.3252710700035095,0.6379690170288086
19,1699,0.36465099453926086,,,
19,1749,0.41286128759384155,,,
19,1759,,0.9257409572601318,0.33848798274993896,0.6382863521575928
20,1799,0.3709506690502167,,,
20,1847,,0.9255128502845764,0.341850221157074,0.6496459245681763
21,1849,0.4097641110420227,,,
21,1899,0.40382838249206543,,,
21,1935,,0.9246116876602173,0.34270650148391724,0.6658915877342224
22,1949,0.4877549707889557,,,
22,1999,0.3876339793205261,,,
22,2023,,0.9254105091094971,0.33822259306907654,0.650862991809845
23,2049,0.37904593348503113,,,
23,2099,0.3845677673816681,,,
23,2111,,0.9251449108123779,0.33192211389541626,0.6437410712242126
24,2149,0.4448283016681671,,,
24,2199,0.38653090596199036,,,
24,2199,,0.9253556132316589,0.3411255478858948,0.6554616689682007
25,2249,0.4640849232673645,,,
25,2287,,0.9247440099716187,0.34270650148391724,0.6699217557907104
26,2299,0.39847588539123535,,,
26,2349,0.5037580728530884,,,
26,2375,,0.9248576164245605,0.34581103920936584,0.6786092519760132
27,2399,0.44911298155784607,,,
27,2449,0.37863555550575256,,,
27,2463,,0.9246679544448853,0.3443354070186615,0.6827828884124756
28,2499,0.362585186958313,,,
28,2549,0.374176561832428,,,
28,2551,,0.9245694279670715,0.34673815965652466,0.6841240525245667
29,2599,0.4078297019004822,,,
29,2639,,0.9245712757110596,0.3470483124256134,0.6845128536224365
30,2640,,0.9245712757110596,0.3470483124256134,0.6845128536224365
