epoch,step,train_loss,val_auroc,val_f1,val_loss
0,49,0.7758438587188721,,,
0,87,,0.9290612936019897,0.29106029868125916,0.6125103831291199
1,99,0.5899841785430908,,,
1,149,0.6453937292098999,,,
1,175,,0.9321852922439575,0.3191153109073639,0.5584843754768372
2,199,0.7440562844276428,,,
2,249,0.47320735454559326,,,
2,263,,0.9334816932678223,0.32773780822753906,0.5445371270179749
3,299,0.539988100528717,,,
3,349,0.5596914887428284,,,
3,351,,0.9333164691925049,0.32043343782424927,0.5429098010063171
4,399,0.5031012892723083,,,
4,439,,0.9330884218215942,0.3358147144317627,0.5505871772766113
5,449,0.5407704710960388,,,
5,499,0.5661717653274536,,,
5,527,,0.9354493021965027,0.333057165145874,0.5474905967712402
6,549,0.5410269498825073,,,
6,599,0.5865583419799805,,,
6,615,,0.9348099827766418,0.3199999928474426,0.5357117652893066
7,649,0.3837212920188904,,,
7,699,0.5808897018432617,,,
7,703,,0.9338750243186951,0.31474408507347107,0.5432730913162231
8,749,0.48874908685684204,,,
8,791,,0.931679368019104,0.3083832263946533,0.5497772097587585
9,799,0.4021865129470825,,,
9,849,0.4219386577606201,,,
9,879,,0.9326339960098267,0.31748467683792114,0.551221489906311
10,899,0.4344395697116852,,,
10,949,0.42608708143234253,,,
10,967,,0.9341632127761841,0.3302752375602722,0.5465501546859741
11,999,0.4816671311855316,,,
11,1049,0.4718857407569885,,,
11,1055,,0.9337652325630188,0.31562739610671997,0.545357882976532
12,1099,0.5656234622001648,,,
12,1143,,0.9339970350265503,0.304964542388916,0.5393031239509583
13,1149,0.42117470502853394,,,
13,1199,0.5301398634910583,,,
13,1231,,0.931963324546814,0.32436707615852356,0.5539432168006897
14,1249,0.4342809021472931,,,
14,1299,0.5422143936157227,,,
14,1319,,0.933158814907074,0.3264971375465393,0.5513305068016052
15,1349,0.4909566342830658,,,
15,1399,0.5165916681289673,,,
15,1407,,0.9297887086868286,0.3086325526237488,0.5680785775184631
16,1449,0.39904308319091797,,,
16,1495,,0.9302675127983093,0.3183229863643646,0.5673181414604187
17,1499,0.4673428237438202,,,
17,1549,0.6198322176933289,,,
17,1583,,0.9299501776695251,0.3227899372577667,0.5822226405143738
18,1599,0.5186320543289185,,,
18,1649,0.40940678119659424,,,
18,1671,,0.9297192692756653,0.3203883469104767,0.583404004573822
19,1699,0.48873573541641235,,,
19,1749,0.5368270874023438,,,
19,1759,,0.9310250282287598,0.3186119794845581,0.5706496238708496
20,1799,0.5184963941574097,,,
20,1847,,0.9288594126701355,0.3304647207260132,0.6117587685585022
21,1849,0.44898808002471924,,,
21,1899,0.4963240921497345,,,
21,1935,,0.9281966686248779,0.3167848587036133,0.5870372653007507
22,1949,0.5105172395706177,,,
22,1999,0.42390793561935425,,,
22,2023,,0.9278521537780762,0.3250825107097626,0.6049990057945251
23,2049,0.5437600612640381,,,
23,2099,0.48893818259239197,,,
23,2111,,0.9278953075408936,0.32459017634391785,0.6045511364936829
24,2149,0.5014860033988953,,,
24,2199,0.5386318564414978,,,
24,2199,,0.927642822265625,0.32423490285873413,0.6102196574211121
25,2249,0.4627484679222107,,,
25,2287,,0.9279967546463013,0.3230016231536865,0.6017475724220276
26,2299,0.4579237103462219,,,
26,2349,0.3847505450248718,,,
26,2375,,0.9275498390197754,0.323699414730072,0.6122133731842041
27,2399,0.40580201148986816,,,
27,2449,0.4046987295150757,,,
27,2463,,0.9275583028793335,0.323699414730072,0.6124686598777771
28,2499,0.7997153997421265,,,
28,2549,0.3787806034088135,,,
28,2551,,0.9274766445159912,0.323699414730072,0.613059937953949
29,2599,0.4568125009536743,,,
29,2639,,0.9274775981903076,0.323699414730072,0.6137313842773438
30,2640,,0.9274775981903076,0.323699414730072,0.6137313842773438
