epoch,step,train_loss,val_auroc,val_f1,val_loss
0,49,0.6947845816612244,,,
0,99,0.459873229265213,,,
0,149,0.44321495294570923,,,
0,175,,0.9277461171150208,0.37962964177131653,0.43374863266944885
1,199,0.3636783957481384,,,
1,249,0.305562287569046,,,
1,299,0.3595687747001648,,,
1,349,0.3712221682071686,,,
1,351,,0.9342618584632874,0.37913742661476135,0.34419703483581543
2,399,0.28480881452560425,,,
2,449,0.32140782475471497,,,
2,499,0.3311008810997009,,,
2,527,,0.9357891082763672,0.39266452193260193,0.3124535083770752
3,549,0.42711496353149414,,,
3,599,0.3048328459262848,,,
3,649,0.4190179407596588,,,
3,699,0.24591046571731567,,,
3,703,,0.9373718500137329,0.38716578483581543,0.3020551800727844
4,749,0.41226983070373535,,,
4,799,0.3658398985862732,,,
4,849,0.30883657932281494,,,
4,879,,0.9370085000991821,0.3851063847541809,0.2968367040157318
5,899,0.27892881631851196,,,
5,949,0.25958988070487976,,,
5,999,0.2778388261795044,,,
5,1049,0.23325663805007935,,,
5,1055,,0.9373172521591187,0.40457141399383545,0.29585811495780945
6,1099,0.2918834686279297,,,
6,1149,0.2868502736091614,,,
6,1199,0.2625519633293152,,,
6,1231,,0.9376384019851685,0.39289677143096924,0.2903882563114166
7,1249,0.28186917304992676,,,
7,1299,0.3617367744445801,,,
7,1349,0.2534841001033783,,,
7,1399,0.23523862659931183,,,
7,1407,,0.9366142153739929,0.3982589840888977,0.2940269112586975
8,1449,0.2643662095069885,,,
8,1499,0.4878931939601898,,,
8,1549,0.213222935795784,,,
8,1583,,0.9371578097343445,0.39912280440330505,0.2919781804084778
9,1599,0.20823247730731964,,,
9,1649,0.25275471806526184,,,
9,1699,0.33784887194633484,,,
9,1749,0.34769967198371887,,,
9,1759,,0.9373801946640015,0.3921161890029907,0.29211753606796265
10,1799,0.3055330514907837,,,
10,1849,0.26811984181404114,,,
10,1899,0.28316396474838257,,,
10,1935,,0.9374421834945679,0.3945578336715698,0.29117539525032043
11,1949,0.3093627989292145,,,
11,1999,0.2765839397907257,,,
11,2049,0.3399156332015991,,,
11,2099,0.23369233310222626,,,
11,2111,,0.9376158714294434,0.3977900445461273,0.2918737828731537
12,2149,0.3008006811141968,,,
12,2199,0.25359928607940674,,,
12,2249,0.2961901128292084,,,
12,2287,,0.937997043132782,0.3964950740337372,0.29171615839004517
13,2299,0.3087672293186188,,,
13,2349,0.27574700117111206,,,
13,2399,0.24676431715488434,,,
13,2449,0.26924341917037964,,,
13,2463,,0.9388155937194824,0.40658050775527954,0.28722524642944336
14,2499,0.29894623160362244,,,
14,2549,0.26329678297042847,,,
14,2599,0.3404918909072876,,,
14,2639,,0.9382420182228088,0.4086265563964844,0.2873327136039734
15,2649,0.24027612805366516,,,
15,2699,0.217196986079216,,,
15,2749,0.26117122173309326,,,
15,2799,0.4633573591709137,,,
15,2815,,0.9389413595199585,0.40556198358535767,0.28591135144233704
16,2849,0.25930389761924744,,,
16,2899,0.352909117937088,,,
16,2949,0.3195537030696869,,,
16,2991,,0.9382532835006714,0.40963855385780334,0.28644105792045593
17,2999,0.2310536801815033,,,
17,3049,0.22536630928516388,,,
17,3099,0.3057169020175934,,,
17,3149,0.41402220726013184,,,
17,3167,,0.9385592341423035,0.4137086868286133,0.28496578335762024
18,3199,0.2643934190273285,,,
18,3249,0.22808337211608887,,,
18,3299,0.25664082169532776,,,
18,3343,,0.9386785626411438,0.4000000059604645,0.28587374091148376
19,3349,0.21746191382408142,,,
19,3399,0.2242986410856247,,,
19,3449,0.2722344398498535,,,
19,3499,0.39202404022216797,,,
19,3519,,0.9386700391769409,0.4078144133090973,0.2854343354701996
20,3549,0.20213308930397034,,,
20,3599,0.2707243859767914,,,
20,3649,0.23470962047576904,,,
20,3695,,0.9388248920440674,0.41324201226234436,0.2861452102661133
21,3699,0.441331684589386,,,
21,3749,0.32605355978012085,,,
21,3799,0.39814841747283936,,,
21,3849,0.4800262153148651,,,
21,3871,,0.9382646083831787,0.4150943458080292,0.2873193621635437
22,3899,0.23644757270812988,,,
22,3949,0.2944907546043396,,,
22,3999,0.269636869430542,,,
22,4047,,0.938327431678772,0.40617576241493225,0.28906670212745667
23,4049,0.38074514269828796,,,
23,4099,0.29898497462272644,,,
23,4149,0.42989325523376465,,,
23,4199,0.23677070438861847,,,
23,4223,,0.9386221766471863,0.410196989774704,0.28654494881629944
24,4249,0.2472815364599228,,,
24,4299,0.34350812435150146,,,
24,4349,0.269165962934494,,,
24,4399,0.4020199477672577,,,
24,4399,,0.9379556775093079,0.4004499316215515,0.28829771280288696
25,4449,0.35928720235824585,,,
25,4499,0.26701122522354126,,,
25,4549,0.34358012676239014,,,
25,4575,,0.937091052532196,0.41951218247413635,0.29041892290115356
26,4599,0.25372064113616943,,,
26,4649,0.2734779417514801,,,
