epoch,step,train_loss,val_auroc,val_average_precision,val_f1,val_loss,val_precision,val_recall
0,175,,0.8836371302604675,0.20388057827949524,0.0,0.4482134282588959,0.0,0.0
0,175,0.5975643396377563,,,,,,
1,351,,0.9142640829086304,0.24329937994480133,0.0,0.3392353355884552,0.0,0.0
1,351,0.42056888341903687,,,,,,
2,527,,0.9206511378288269,0.26425543427467346,0.008928571827709675,0.3155499994754791,1.0,0.0044843051582574844
2,527,0.36565011739730835,,,,,,
3,703,,0.9183917045593262,0.24789322912693024,0.008928571827709675,0.312900185585022,1.0,0.0044843051582574844
3,703,0.34284472465515137,,,,,,
4,879,,0.9248425960540771,0.2707463502883911,0.017467249184846878,0.30407479405403137,0.3333333432674408,0.008968610316514969
4,879,0.33186426758766174,,,,,,
5,1055,,0.9234129190444946,0.26509368419647217,0.017543859779834747,0.305513858795166,0.4000000059604645,0.008968610316514969
5,1055,0.32522639632225037,,,,,,
6,1231,,0.9285697937011719,0.2940453588962555,0.017467249184846878,0.29752683639526367,0.3333333432674408,0.008968610316514969
6,1231,0.31897807121276855,,,,,,
7,1407,,0.9274306893348694,0.293893963098526,0.0260869562625885,0.3004550337791443,0.4285714328289032,0.013452914543449879
7,1407,0.3142455816268921,,,,,,
8,1583,,0.9250772595405579,0.273426353931427,0.017621146515011787,0.3002564311027527,0.5,0.008968610316514969
8,1583,0.31271860003471375,,,,,,
9,1759,,0.9291777014732361,0.2973995804786682,0.02575107291340828,0.3021971583366394,0.30000001192092896,0.013452914543449879
9,1759,0.31221097707748413,,,,,,
10,1935,,0.9294611811637878,0.29737943410873413,0.0260869562625885,0.29835978150367737,0.4285714328289032,0.013452914543449879
10,1935,0.3120635747909546,,,,,,
11,2111,,0.9305087924003601,0.30567049980163574,0.03404255583882332,0.3007134795188904,0.3333333432674408,0.017937220633029938
11,2111,0.30808591842651367,,,,,,
12,2287,,0.9343876242637634,0.32119154930114746,0.05737704783678055,0.2992297410964966,0.3333333432674408,0.03139013424515724
12,2287,0.3070827126502991,,,,,,
13,2463,,0.9319919347763062,0.30783405900001526,0.0258620698004961,0.2976107597351074,0.3333333432674408,0.013452914543449879
13,2463,0.30289411544799805,,,,,,
