epoch,step,train_loss,val_accuracy_optimized,val_auroc,val_average_precision,val_balanced_accuracy_optimized,val_best_threshold,val_f1_optimized,val_f1_threshold_05,val_false_negatives,val_false_positives,val_loss,val_precision_optimized,val_recall_optimized,val_specificity_optimized,val_true_negatives,val_true_positives
0,186,,0.9229999780654907,0.9272767305374146,0.3092818856239319,0.7459543347358704,0.5199999809265137,0.38985735177993774,0.3788546323776245,100.0,285.0,0.22417666018009186,0.3014705777168274,0.5515695214271545,0.9403391480445862,4492.0,123.0
0,186,0.3612418472766876,,,,,,,,,,,,,,,
1,373,,0.9157999753952026,0.9282652139663696,0.295256108045578,0.7934858798980713,0.48499998450279236,0.4111888110637665,0.39589443802833557,76.0,345.0,0.16141091287136078,0.29878050088882446,0.6591928005218506,0.927778959274292,4432.0,147.0
1,373,0.2258828580379486,,,,,,,,,,,,,,,
2,560,,0.9161999821662903,0.9288997650146484,0.2922290563583374,0.8043826222419739,0.4749999940395355,0.420470267534256,0.39759036898612976,71.0,348.0,0.1506316214799881,0.30399999022483826,0.681614339351654,0.9271509051322937,4429.0,152.0
2,560,0.20413629710674286,,,,,,,,,,,,,,,
3,747,,0.9147999882698059,0.9281103610992432,0.28525587916374207,0.7993749976158142,0.5,0.41322314739227295,0.41322314739227295,73.0,353.0,0.1513475477695465,0.2982107400894165,0.6726457476615906,0.9261042475700378,4424.0,150.0
3,747,0.1993800550699234,,,,,,,,,,,,,,,
4,934,,0.9186000227928162,0.9299229979515076,0.31476646661758423,0.7992262244224548,0.4949999749660492,0.4226950407028198,0.4160688519477844,74.0,333.0,0.14530529081821442,0.30912864208221436,0.6681614518165588,0.9302909970283508,4444.0,149.0
4,934,0.1953154057264328,,,,,,,,,,,,,,,
5,1121,,0.9186000227928162,0.9297146201133728,0.3030567169189453,0.7992262244224548,0.5250000357627869,0.4226950407028198,0.41600000858306885,74.0,333.0,0.15047772228717804,0.30912864208221436,0.6681614518165588,0.9302909970283508,4444.0,149.0
5,1121,0.19121232628822327,,,,,,,,,,,,,,,
6,1308,,0.9376000165939331,0.9340712428092957,0.3369101881980896,0.7407702207565308,0.5400000214576721,0.4285714328289032,0.41741740703582764,106.0,206.0,0.13956229388713837,0.3622291088104248,0.5246636867523193,0.9568766951560974,4571.0,117.0
6,1308,0.19011497497558594,,,,,,,,,,,,,,,
7,1495,,0.9394000172615051,0.9347659349441528,0.3423856198787689,0.7395747303962708,0.5350000262260437,0.4336448907852173,0.42944785952568054,107.0,196.0,0.13778358697891235,0.3717948794364929,0.5201793909072876,0.9589700698852539,4581.0,116.0
7,1495,0.18804533779621124,,,,,,,,,,,,,,,
8,1682,,0.9376000165939331,0.9357956647872925,0.3594968616962433,0.7471826076507568,0.5350000262260437,0.43478262424468994,0.4234234094619751,103.0,209.0,0.13934548199176788,0.36474165320396423,0.5381165742874146,0.9562487006187439,4568.0,120.0
8,1682,0.1870499700307846,,,,,,,,,,,,,,,
9,1869,,0.9408000111579895,0.9356679916381836,0.355036199092865,0.7317574620246887,0.5400000214576721,0.4307692348957062,0.4124031066894531,111.0,185.0,0.13791754841804504,0.37710437178611755,0.5022421479225159,0.9612727761268616,4592.0,112.0
9,1869,0.185371533036232,,,,,,,,,,,,,,,
