epoch,step,train_loss,val_accuracy_optimized,val_auroc,val_average_precision,val_balanced_accuracy_optimized,val_best_threshold,val_f1_optimized,val_f1_threshold_05,val_false_negatives,val_false_positives,val_loss,val_precision_optimized,val_recall_optimized,val_specificity_optimized,val_true_negatives,val_true_positives
0,186,,0.920199990272522,0.9121397733688354,0.27925196290016174,0.7433558702468872,0.45499998331069946,0.3813953399658203,0.3629489541053772,101.0,298.0,0.24666306376457214,0.2921615242958069,0.5491071343421936,0.9376046657562256,4478.0,123.0
0,186,0.41449427604675293,,,,,,,,,,,,,,,
1,373,,0.9223999977111816,0.9222844243049622,0.29379069805145264,0.7679094672203064,0.47999998927116394,0.4085366129875183,0.4019138813018799,90.0,298.0,0.1652454286813736,0.31018519401550293,0.5982142686843872,0.9376046657562256,4478.0,134.0
1,373,0.23907016217708588,,,,,,,,,,,,,,,
2,560,,0.9243999719619751,0.9267785549163818,0.29327213764190674,0.7732113003730774,0.5049999952316284,0.41846150159835815,0.41754916310310364,88.0,290.0,0.15141262114048004,0.31924882531166077,0.6071428656578064,0.9392797350883484,4486.0,136.0
2,560,0.20879077911376953,,,,,,,,,,,,,,,
3,747,,0.9258000254631042,0.928055465221405,0.3015684485435486,0.7739441394805908,0.5,0.42301711440086365,0.42301711440086365,88.0,283.0,0.1437017023563385,0.3245823383331299,0.6071428656578064,0.9407454133033752,4493.0,136.0
3,747,0.20017722249031067,,,,,,,,,,,,,,,
4,934,,0.920199990272522,0.9277292490005493,0.2944380044937134,0.7795226573944092,0.4699999988079071,0.4123711585998535,0.40816327929496765,84.0,315.0,0.14058442413806915,0.3076923191547394,0.625,0.9340452551841736,4461.0,140.0
4,934,0.19392584264278412,,,,,,,,,,,,,,,
5,1121,,0.9318000078201294,0.9283984899520874,0.31244200468063354,0.7515553832054138,0.5199999809265137,0.42105260491371155,0.40959998965263367,100.0,241.0,0.13801822066307068,0.3397260308265686,0.5535714030265808,0.9495393633842468,4535.0,124.0
5,1121,0.1931070238351822,,,,,,,,,,,,,,,
6,1308,,0.9205999970436096,0.9283012747764587,0.303913950920105,0.7882418036460876,0.4449999928474426,0.4204379916191101,0.4119601249694824,80.0,317.0,0.13591887056827545,0.3123644292354584,0.6428571343421936,0.9336264729499817,4459.0,144.0
6,1308,0.1899130642414093,,,,,,,,,,,,,,,
7,1495,,0.9222000241279602,0.9286378622055054,0.30993351340293884,0.7784420847892761,0.4650000035762787,0.4167916178703308,0.403940886259079,85.0,304.0,0.13685771822929382,0.31376975774765015,0.6205357313156128,0.9363484382629395,4472.0,139.0
7,1495,0.1874828040599823,,,,,,,,,,,,,,,
8,1682,,0.9264000058174133,0.9283685684204102,0.2922019362449646,0.763620913028717,0.48499998450279236,0.4158730208873749,0.4151565134525299,93.0,275.0,0.13675722479820251,0.32266008853912354,0.5848214030265808,0.9424204230308533,4501.0,131.0
8,1682,0.18810726702213287,,,,,,,,,,,,,,,
9,1869,,0.920799970626831,0.9296940565109253,0.301510751247406,0.78621906042099,0.41999998688697815,0.4193548262119293,0.3778626024723053,81.0,315.0,0.13159511983394623,0.3122270703315735,0.6383928656578064,0.9340452551841736,4461.0,143.0
9,1869,0.18532966077327728,,,,,,,,,,,,,,,
10,2056,,0.9232000112533569,0.9284144043922424,0.30040258169174194,0.7747105956077576,0.4650000035762787,0.4164133667945862,0.40204429626464844,87.0,297.0,0.13809391856193542,0.3156681954860687,0.6116071343421936,0.9378140568733215,4479.0,137.0
10,2056,0.18459130823612213,,,,,,,,,,,,,,,
11,2243,,0.9291999936103821,0.929155170917511,0.308005154132843,0.7480669617652893,0.4899999797344208,0.4100000262260437,0.3993055522441864,101.0,253.0,0.1341564953327179,0.3271276652812958,0.5491071343421936,0.947026789188385,4523.0,123.0
11,2243,0.18313463032245636,,,,,,,,,,,,,,,
12,2430,,0.9223999977111816,0.9281086921691895,0.2950665354728699,0.7721644043922424,0.44999998807907104,0.4121212065219879,0.3870967626571655,88.0,300.0,0.1344214379787445,0.31192660331726074,0.6071428656578064,0.9371859431266785,4476.0,136.0
12,2430,0.18331927061080933,,,,,,,,,,,,,,,
13,2617,,0.9190000295639038,0.9298539161682129,0.3128705620765686,0.7831493616104126,0.41999998688697815,0.41219156980514526,0.3785851001739502,82.0,323.0,0.13173183798789978,0.3053763508796692,0.6339285969734192,0.9323701858520508,4453.0,142.0
13,2617,0.18126820027828217,,,,,,,,,,,,,,,
