epoch,step,train_loss,val_auroc,val_average_precision,val_f1,val_loss,val_precision,val_recall
0,175,,0.9147446751594543,0.283305287361145,0.0,0.4679356813430786,0.0,0.0
0,175,0.6477892398834229,,,,,,
1,351,,0.9251551628112793,0.2867729663848877,0.0,0.3557193875312805,0.0,0.0
1,351,0.42967095971107483,,,,,,
2,527,,0.9154224395751953,0.23369765281677246,0.0,0.3389827609062195,0.0,0.0
2,527,0.37444397807121277,,,,,,
3,703,,0.9155407547950745,0.2325817048549652,0.0,0.32397937774658203,0.0,0.0
3,703,0.3475807309150696,,,,,,
4,879,,0.916599690914154,0.2621314823627472,0.0,0.31972599029541016,0.0,0.0
4,879,0.3345167636871338,,,,,,
5,1055,,0.9211472868919373,0.2797323763370514,0.0,0.3156552016735077,0.0,0.0
5,1055,0.3257122337818146,,,,,,
6,1231,,0.9227511286735535,0.2859407663345337,0.0,0.31397125124931335,0.0,0.0
6,1231,0.3226112723350525,,,,,,
7,1407,,0.9231876730918884,0.29079490900039673,0.0,0.3106977641582489,0.0,0.0
7,1407,0.32236725091934204,,,,,,
8,1583,,0.9219362139701843,0.2837059199810028,0.0,0.31210941076278687,0.0,0.0
8,1583,0.3167128562927246,,,,,,
9,1759,,0.913857638835907,0.25301694869995117,0.0,0.3143240213394165,0.0,0.0
9,1759,0.31393423676490784,,,,,,
10,1935,,0.9250068664550781,0.29481151700019836,0.008849558420479298,0.3094174563884735,0.3333333432674408,0.0044843051582574844
10,1935,0.31364840269088745,,,,,,
11,2111,,0.9230045080184937,0.28935158252716064,0.0,0.3093881905078888,0.0,0.0
11,2111,0.31161585450172424,,,,,,
12,2287,,0.9250509738922119,0.29658475518226624,0.0,0.3081938326358795,0.0,0.0
12,2287,0.3075822591781616,,,,,,
13,2463,,0.9271387457847595,0.30033302307128906,0.017621146515011787,0.30466869473457336,0.5,0.008968610316514969
13,2463,0.3101780116558075,,,,,,
14,2639,,0.9259709119796753,0.29260820150375366,0.03433476388454437,0.31026917695999146,0.4000000059604645,0.017937220633029938
14,2639,0.3090363144874573,,,,,,
15,2815,,0.9225136637687683,0.28656262159347534,0.017621146515011787,0.31487178802490234,0.5,0.008968610316514969
15,2815,0.30577316880226135,,,,,,
16,2991,,0.9242192506790161,0.2875858247280121,0.017543859779834747,0.30838465690612793,0.4000000059604645,0.008968610316514969
16,2991,0.30391016602516174,,,,,,
17,3167,,0.9244276881217957,0.2889499068260193,0.03433476388454437,0.30999690294265747,0.4000000059604645,0.017937220633029938
17,3167,0.3016163408756256,,,,,,
18,3343,,0.9236072301864624,0.28934457898139954,0.03433476388454437,0.31148627400398254,0.4000000059604645,0.017937220633029938
18,3343,0.3002265691757202,,,,,,
19,3519,,0.9275668263435364,0.3007967472076416,0.017543859779834747,0.30535662174224854,0.4000000059604645,0.008968610316514969
19,3519,0.3037319779396057,,,,,,
20,3695,,0.9260619878768921,0.29189133644104004,0.0,0.304004043340683,0.0,0.0
20,3695,0.3011029064655304,,,,,,
21,3871,,0.9259860515594482,0.2901419401168823,0.0,0.3019547462463379,0.0,0.0
21,3871,0.30023762583732605,,,,,,
22,4047,,0.925908088684082,0.29600030183792114,0.017467249184846878,0.3073369562625885,0.3333333432674408,0.008968610316514969
22,4047,0.3032137155532837,,,,,,
23,4223,,0.9313531517982483,0.32018375396728516,0.04219409078359604,0.3042789399623871,0.3571428656578064,0.022421523928642273
23,4223,0.2981862723827362,,,,,,
24,4399,,0.9259184002876282,0.30172833800315857,0.03433476388454437,0.31145259737968445,0.4000000059604645,0.017937220633029938
24,4399,0.2982158064842224,,,,,,
25,4575,,0.9277442097663879,0.3060971796512604,0.03433476388454437,0.31126531958580017,0.4000000059604645,0.017937220633029938
25,4575,0.29919955134391785,,,,,,
26,4751,,0.9273841381072998,0.3051297068595886,0.03433476388454437,0.316468209028244,0.4000000059604645,0.017937220633029938
26,4751,0.300802618265152,,,,,,
27,4927,,0.9284951686859131,0.3086445927619934,0.0,0.31382620334625244,0.0,0.0
27,4927,0.2997061312198639,,,,,,
28,5103,,0.9335474371910095,0.33285534381866455,0.008849558420479298,0.30708780884742737,0.3333333432674408,0.0044843051582574844
28,5103,0.2965426743030548,,,,,,
