epoch,step,train_loss,val_auroc,val_f1,val_loss
0,49,1.0037692785263062,,,
0,99,1.2625075578689575,,,
0,149,1.3216484785079956,,,
0,175,,0.5,0.0,1.2895780801773071
1,199,1.2576451301574707,,,
1,249,1.1993155479431152,,,
1,299,1.0276861190795898,,,
1,349,1.3687187433242798,,,
1,351,,0.5,0.0,1.2849552631378174
2,399,1.1459647417068481,,,
2,449,1.202427864074707,,,
2,499,1.5317766666412354,,,
2,527,,0.5,0.0,1.284498929977417
3,549,1.5322788953781128,,,
3,599,1.1481068134307861,,,
3,649,1.4732791185379028,,,
3,699,1.4206526279449463,,,
3,703,,0.5,0.0,1.2844269275665283
4,749,1.7486761808395386,,,
4,799,1.3107759952545166,,,
4,849,1.0409384965896606,,,
4,879,,0.5,0.0,1.284425139427185
5,899,1.2022796869277954,,,
5,949,1.4183367490768433,,,
5,999,1.365058183670044,,,
5,1049,1.1470810174942017,,,
5,1055,,0.5,0.0,1.2844808101654053
6,1099,1.4774534702301025,,,
6,1149,1.4229754209518433,,,
6,1199,1.256693720817566,,,
6,1231,,0.5,0.0,1.2843714952468872
7,1249,1.3108824491500854,,,
7,1299,1.0954830646514893,,,
7,1349,1.256730079650879,,,
7,1399,1.4198044538497925,,,
7,1407,,0.5,0.0,1.2843883037567139
8,1449,1.091832160949707,,,
8,1499,1.3107445240020752,,,
8,1549,1.3108105659484863,,,
8,1583,,0.5,0.0,1.2843787670135498
9,1599,0.7681046724319458,,,
9,1649,1.0410016775131226,,,
9,1699,1.2038863897323608,,,
9,1749,1.3113226890563965,,,
9,1759,,0.5,0.0,1.2844607830047607
10,1799,1.3665797710418701,,,
10,1849,1.476624846458435,,,
10,1899,1.531771183013916,,,
10,1935,,0.5,0.0,1.2843714952468872
11,1949,1.0414488315582275,,,
11,1999,1.419266939163208,,,
11,2049,1.1490994691848755,,,
11,2099,1.6391963958740234,,,
11,2111,,0.5,0.0,1.284391164779663
12,2149,1.25709068775177,,,
12,2199,1.2025407552719116,,,
12,2249,0.9870693683624268,,,
12,2287,,0.5,0.0,1.2844001054763794
13,2299,1.4196970462799072,,,
13,2349,1.3654800653457642,,,
13,2399,1.5308120250701904,,,
13,2449,1.36519455909729,,,
13,2463,,0.5,0.0,1.2843741178512573
14,2499,1.311570644378662,,,
14,2549,1.1479183435440063,,,
14,2599,1.1482480764389038,,,
14,2639,,0.5,0.0,1.28438401222229
15,2649,1.5273727178573608,,,
15,2699,1.2026532888412476,,,
15,2749,1.040412425994873,,,
15,2799,1.0934383869171143,,,
15,2815,,0.5,0.0,1.2843759059906006
16,2849,1.365240216255188,,,
16,2899,0.9329147338867188,,,
16,2949,1.580331802368164,,,
16,2991,,0.5,0.0,1.284388780593872
17,2999,1.0939552783966064,,,
17,3049,1.419805884361267,,,
17,3099,1.2568249702453613,,,
17,3149,1.5289400815963745,,,
17,3167,,0.5,0.0,1.2843964099884033
18,3199,1.4738408327102661,,,
18,3249,1.256655216217041,,,
18,3299,1.0949441194534302,,,
18,3343,,0.5,0.0,1.2843732833862305
19,3349,0.9309274554252625,,,
19,3399,0.9826352596282959,,,
19,3449,1.4195648431777954,,,
19,3499,1.094300389289856,,,
19,3519,,0.5,0.0,1.2843915224075317
20,3549,1.3649590015411377,,,
20,3599,1.2567662000656128,,,
20,3649,1.3113466501235962,,,
20,3695,,0.5,0.0,1.2844104766845703
21,3699,1.3111369609832764,,,
21,3749,1.4719290733337402,,,
21,3799,1.3107571601867676,,,
21,3849,1.041821002960205,,,
21,3871,,0.5,0.0,1.2843905687332153
22,3899,1.3108799457550049,,,
22,3949,1.2027957439422607,,,
22,3999,1.3110690116882324,,,
22,4047,,0.5,0.0,1.2843912839889526
23,4049,1.2022827863693237,,,
23,4099,1.3672517538070679,,,
23,4149,1.2565951347351074,,,
23,4199,1.6389591693878174,,,
23,4223,,0.5,0.0,1.2843825817108154
24,4249,1.2027398347854614,,,
24,4299,1.2021876573562622,,,
24,4349,1.4718931913375854,,,
24,4399,1.4239089488983154,,,
24,4399,,0.5,0.0,1.2843822240829468
25,4449,1.3659621477127075,,,
25,4499,1.2017983198165894,,,
25,4549,1.4208779335021973,,,
25,4575,,0.5,0.0,1.2843705415725708
26,4599,1.847836971282959,,,
26,4649,1.4715325832366943,,,
26,4699,1.2031919956207275,,,
26,4749,1.256762981414795,,,
26,4751,,0.5,0.0,1.284382700920105
27,4799,1.474747896194458,,,
27,4849,1.3113950490951538,,,
27,4899,1.418687343597412,,,
