epoch,step,train_loss,val_accuracy_optimized,val_auroc,val_average_precision,val_balanced_accuracy_optimized,val_best_threshold,val_f1_optimized,val_f1_threshold_05,val_false_negatives,val_false_positives,val_loss,val_precision_optimized,val_recall_optimized,val_specificity_optimized,val_true_negatives,val_true_positives
0,186,,0.9223999977111816,0.922325849533081,0.2989075183868408,0.7670151591300964,0.4949999749660492,0.4067278206348419,0.3993759751319885,90.0,298.0,0.25049901008605957,0.30858469009399414,0.5964125394821167,0.9376177787780762,4479.0,133.0
0,186,0.41258665919303894,,,,,,,,,,,,,,,
1,373,,0.930400013923645,0.9296779632568359,0.3212616443634033,0.7626519203186035,0.5250000357627869,0.42574256658554077,0.4221879839897156,94.0,254.0,0.16720959544181824,0.33681461215019226,0.5784753561019897,0.9468285441398621,4523.0,129.0
1,373,0.23482902348041534,,,,,,,,,,,,,,,
2,560,,0.9156000018119812,0.9307510256767273,0.2861488461494446,0.8190310001373291,0.47999998927116394,0.42972972989082336,0.4295874834060669,64.0,358.0,0.15693877637386322,0.3075435161590576,0.713004469871521,0.925057590007782,4419.0,159.0
2,560,0.20809650421142578,,,,,,,,,,,,,,,
3,747,,0.9210000038146973,0.9321759343147278,0.30469226837158203,0.8047571778297424,0.4749999940395355,0.43328550457954407,0.4298507571220398,72.0,323.0,0.14503887295722961,0.31856539845466614,0.6771300435066223,0.9323843121528625,4454.0,151.0
3,747,0.19983305037021637,,,,,,,,,,,,,,,
4,934,,0.9222000241279602,0.9323673844337463,0.299001544713974,0.8075226545333862,0.47999998927116394,0.43867242336273193,0.43095600605010986,71.0,318.0,0.1412069946527481,0.3234042525291443,0.681614339351654,0.9334310293197632,4459.0,152.0
4,934,0.1936245560646057,,,,,,,,,,,,,,,
5,1121,,0.9156000018119812,0.9335681200027466,0.3201906979084015,0.8297184705734253,0.42499998211860657,0.4373333156108856,0.41910630464553833,59.0,363.0,0.13905473053455353,0.311195433139801,0.7354260087013245,0.9240108728408813,4414.0,164.0
5,1121,0.19215545058250427,,,,,,,,,,,,,,,
6,1308,,0.926800012588501,0.9326106309890747,0.3097081482410431,0.7906926870346069,0.48499998450279236,0.43865031003952026,0.4301765561103821,80.0,286.0,0.1380959451198578,0.3333333432674408,0.6412556171417236,0.940129816532135,4491.0,143.0
6,1308,0.19048216938972473,,,,,,,,,,,,,,,
7,1495,,0.9279999732971191,0.9331615567207336,0.31594720482826233,0.7870457172393799,0.5099999904632568,0.4392523467540741,0.4387291967868805,82.0,278.0,0.1403782218694687,0.33651551604270935,0.6322869658470154,0.9418044686317444,4499.0,141.0
7,1495,0.1888909935951233,,,,,,,,,,,,,,,
8,1682,,0.9291999936103821,0.9339538216590881,0.3223459720611572,0.7898112535476685,0.4749999940395355,0.44514110684394836,0.4372881352901459,81.0,273.0,0.13264727592468262,0.3421686887741089,0.6367713212966919,0.942851185798645,4504.0,142.0
8,1682,0.1863117665052414,,,,,,,,,,,,,,,
9,1869,,0.9251999855041504,0.9342674016952515,0.33729997277259827,0.8112301826477051,0.42499998211860657,0.4500000476837158,0.41622576117515564,70.0,304.0,0.12867118418216705,0.3347921371459961,0.6860986351966858,0.9363617300987244,4473.0,153.0
9,1869,0.18423420190811157,,,,,,,,,,,,,,,
10,2056,,0.9265999794006348,0.934306800365448,0.32014524936676025,0.803412914276123,0.4650000035762787,0.4481203258037567,0.43507587909698486,74.0,293.0,0.1343776434659958,0.33710408210754395,0.6681614518165588,0.938664436340332,4484.0,149.0
10,2056,0.18461976945400238,,,,,,,,,,,,,,,
11,2243,,0.9210000038146973,0.9333868622779846,0.3153272867202759,0.809032142162323,0.429999977350235,0.4365192651748657,0.4156305491924286,70.0,325.0,0.13126903772354126,0.3200836777687073,0.6860986351966858,0.9319656491279602,4452.0,153.0
11,2243,0.18438445031642914,,,,,,,,,,,,,,,
12,2430,,0.9254000186920166,0.9332479238510132,0.3112521171569824,0.7963724732398987,0.44999998807907104,0.4390977621078491,0.41962775588035583,77.0,296.0,0.1309741884469986,0.3303167521953583,0.6547085046768188,0.9380364418029785,4481.0,146.0
12,2430,0.1834101676940918,,,,,,,,,,,,,,,
13,2617,,0.9222000241279602,0.9327813982963562,0.3096299469470978,0.8053852319717407,0.44999998807907104,0.4370477497577667,0.4367816150188446,72.0,317.0,0.13335402309894562,0.3226495683193207,0.6771300435066223,0.9336403608322144,4460.0,151.0
13,2617,0.18225069344043732,,,,,,,,,,,,,,,
14,2804,,0.9247999787330627,0.9328725337982178,0.3122592270374298,0.8024709224700928,0.429999977350235,0.4421365261077881,0.4137931168079376,74.0,302.0,0.1297183334827423,0.3303769528865814,0.6681614518165588,0.9367803931236267,4475.0,149.0
14,2804,0.18181930482387543,,,,,,,,,,,,,,,
15,2991,,0.9251999855041504,0.934063732624054,0.316864013671875,0.8112301826477051,0.429999977350235,0.4500000476837158,0.41637009382247925,70.0,304.0,0.12978757917881012,0.3347921371459961,0.6860986351966858,0.9363617300987244,4473.0,153.0
15,2991,0.18176600337028503,,,,,,,,,,,,,,,
16,3178,,0.9241999983787537,0.9326237440109253,0.31616079807281494,0.8085693717002869,0.4099999964237213,0.44509515166282654,0.4000000059604645,71.0,308.0,0.1262301206588745,0.33043476939201355,0.681614339351654,0.9355244040489197,4469.0,152.0
16,3178,0.1814773976802826,,,,,,,,,,,,,,,
17,3365,,0.9243999719619751,0.9327570199966431,0.3083373010158539,0.8043990731239319,0.45499998331069946,0.44247785210609436,0.42122718691825867,73.0,305.0,0.13199543952941895,0.32967033982276917,0.6726457476615906,0.9361523985862732,4472.0,150.0
17,3365,0.18069809675216675,,,,,,,,,,,,,,,
18,3552,,0.9251999855041504,0.9325016736984253,0.30335918068885803,0.8005427718162537,0.4599999785423279,0.4417910575866699,0.4203389883041382,75.0,299.0,0.13227008283138275,0.33109620213508606,0.6636771559715271,0.9374083876609802,4478.0,148.0
18,3552,0.18082739412784576,,,,,,,,,,,,,,,
19,3739,,0.9258000254631042,0.9330376386642456,0.310305655002594,0.7987192869186401,0.44999998807907104,0.4421052634716034,0.4137931168079376,76.0,295.0,0.1309112161397934,0.33257919549942017,0.6591928005218506,0.9382457733154297,4482.0,147.0
19,3739,0.18090946972370148,,,,,,,,,,,,,,,
20,3926,,0.9258000254631042,0.9317751526832581,0.3003067076206207,0.7965818047523499,0.4599999785423279,0.44042232632637024,0.39792388677597046,77.0,294.0,0.13360092043876648,0.33181819319725037,0.6547085046768188,0.9384551048278809,4483.0,146.0
20,3926,0.18107739090919495,,,,,,,,,,,,,,,
21,4113,,0.920199990272522,0.932070791721344,0.3043205738067627,0.8107509613037109,0.429999977350235,0.4356435537338257,0.4146341383457184,69.0,330.0,0.13307325541973114,0.3181818127632141,0.6905829310417175,0.9309189915657043,4447.0,154.0
21,4113,0.17968308925628662,,,,,,,,,,,,,,,
22,4300,,0.9236000180244446,0.9325730204582214,0.3033889830112457,0.8061178922653198,0.429999977350235,0.44152045249938965,0.40425533056259155,72.0,310.0,0.1283355951309204,0.3275488018989563,0.6771300435066223,0.9351057410240173,4467.0,151.0
22,4300,0.17770981788635254,,,,,,,,,,,,,,,
