epoch,step,train_loss,val_accuracy_optimized,val_auroc,val_average_precision,val_balanced_accuracy_optimized,val_best_threshold,val_f1_optimized,val_f1_threshold_05,val_false_negatives,val_false_positives,val_loss,val_precision_optimized,val_recall_optimized,val_specificity_optimized,val_true_negatives,val_true_positives
0,78,,0.9136000275611877,0.8844444751739502,0.21659588813781738,0.7132476568222046,0.5049999952316284,0.33742329478263855,0.3333333432674408,113.0,319.0,0.4313797950744629,0.25641027092933655,0.4932735562324524,0.933221697807312,4458.0,110.0
0,78,0.5153213143348694,,,,,,,,,,,,,,,
1,157,,0.9110000133514404,0.9187709093093872,0.28259482979774475,0.7567740678787231,0.4899999797344208,0.37057992815971375,0.3695976138114929,92.0,353.0,0.28589293360710144,0.2706611454486847,0.5874439477920532,0.9261042475700378,4424.0,131.0
1,157,0.343598335981369,,,,,,,,,,,,,,,
2,236,,0.9223999977111816,0.9268524646759033,0.30624282360076904,0.7648776769638062,0.5149999856948853,0.4049079716205597,0.38784369826316833,91.0,297.0,0.21430093050003052,0.3076923191547394,0.591928243637085,0.9378271102905273,4480.0,132.0
2,236,0.2733573615550995,,,,,,,,,,,,,,,
3,315,,0.9200000166893005,0.9308101534843445,0.32648149132728577,0.7828589677810669,0.5149999856948853,0.41348975896835327,0.3977591097354889,82.0,318.0,0.18239723145961761,0.30718955397605896,0.6322869658470154,0.9334310293197632,4459.0,141.0
3,315,0.2404220998287201,,,,,,,,,,,,,,,
4,394,,0.9305999875068665,0.9328263998031616,0.33139854669570923,0.7670315504074097,0.550000011920929,0.43021345138549805,0.4141843914985657,92.0,255.0,0.16704662144184113,0.3393782377243042,0.5874439477920532,0.9466192126274109,4522.0,131.0
4,394,0.22105121612548828,,,,,,,,,,,,,,,
5,473,,0.9214000105857849,0.9316052794456482,0.3114978075027466,0.7750417590141296,0.5400000214576721,0.41079461574554443,0.3978494703769684,86.0,307.0,0.16225679218769073,0.30855855345726013,0.6143497824668884,0.9357337355613708,4470.0,137.0
5,473,0.21499641239643097,,,,,,,,,,,,,,,
6,552,,0.9305999875068665,0.9325223565101624,0.30698615312576294,0.7477942705154419,0.5550000071525574,0.41285955905914307,0.40735501050949097,101.0,246.0,0.15598851442337036,0.33152174949645996,0.5470852255821228,0.9485032558441162,4531.0,122.0
6,552,0.2100444734096527,,,,,,,,,,,,,,,
7,631,,0.9269999861717224,0.9342110753059387,0.31732168793678284,0.7694225311279297,0.5300000309944153,0.4215530455112457,0.40697672963142395,90.0,275.0,0.148622527718544,0.32598039507865906,0.5964125394821167,0.9424324631690979,4502.0,133.0
7,631,0.20311114192008972,,,,,,,,,,,,,,,
