epoch,step,train_loss,val_accuracy_optimized,val_auroc,val_average_precision,val_balanced_accuracy_optimized,val_best_threshold,val_f1_optimized,val_f1_threshold_05,val_false_negatives,val_false_positives,val_loss,val_precision_optimized,val_recall_optimized,val_specificity_optimized,val_true_negatives,val_true_positives
0,78,,0.9043999910354614,0.8894525170326233,0.21217399835586548,0.7298077344894409,0.5350000262260437,0.33426186442375183,0.3043902516365051,103.0,375.0,0.49773460626602173,0.24242424964904785,0.5381165742874146,0.9214988350868225,4402.0,120.0
0,78,0.61794114112854,,,,,,,,,,,,,,,
1,157,,0.8962000012397766,0.9150450825691223,0.2541006803512573,0.7960532903671265,0.4650000035762787,0.37090909481048584,0.35483869910240173,70.0,449.0,0.32129475474357605,0.2541528344154358,0.6860986351966858,0.9060079455375671,4328.0,153.0
1,157,0.3950686752796173,,,,,,,,,,,,,,,
2,236,,0.9165999889373779,0.9241216778755188,0.27583736181259155,0.7746672034263611,0.5049999952316284,0.3982684016227722,0.3948863744735718,85.0,332.0,0.23390629887580872,0.29361701011657715,0.6188340783119202,0.930500328540802,4445.0,138.0
2,236,0.2921507656574249,,,,,,,,,,,,,,,
3,315,,0.909600019454956,0.9306467771530151,0.30123433470726013,0.8244409561157227,0.4749999940395355,0.4190231263637543,0.4171270728111267,60.0,392.0,0.19961421191692352,0.2936936914920807,0.7309417128562927,0.9179401397705078,4385.0,163.0
3,315,0.24920326471328735,,,,,,,,,,,,,,,
4,394,,0.9214000105857849,0.9335774183273315,0.317379355430603,0.8071039915084839,0.5049999952316284,0.43615496158599854,0.42458099126815796,71.0,322.0,0.1736203134059906,0.3206751048564911,0.681614339351654,0.9325937032699585,4455.0,152.0
4,394,0.23053795099258423,,,,,,,,,,,,,,,
5,473,,0.9225999712944031,0.9348184466362,0.32269763946533203,0.7927696704864502,0.5250000357627869,0.4283604323863983,0.4197530746459961,78.0,309.0,0.16563202440738678,0.31938326358795166,0.6502242088317871,0.9353150725364685,4468.0,145.0
5,473,0.22002816200256348,,,,,,,,,,,,,,,
6,552,,0.9264000058174133,0.9350793957710266,0.3185017704963684,0.7776584625244141,0.5350000262260437,0.4267912805080414,0.42075735330581665,86.0,282.0,0.1548352837562561,0.3269689679145813,0.6143497824668884,0.9409671425819397,4495.0,137.0
6,552,0.2136656492948532,,,,,,,,,,,,,,,
7,631,,0.925599992275238,0.9339877367019653,0.31853151321411133,0.7815147638320923,0.5400000214576721,0.4276922941207886,0.42291951179504395,84.0,288.0,0.15346340835094452,0.3255269229412079,0.6233183741569519,0.9397110939025879,4489.0,139.0
7,631,0.20612932741641998,,,,,,,,,,,,,,,
